number;name;subsystem;basin;hydro plants downstream;hydro_plant_operating; run-of-river hydro plants;historical_inflow;max_generation;production_factor;maximum turbined outflow;minimum outflow;forced_indisponibility;programmer_indisponibility;min_volume;max_volume;COTA_MINIMO;COTA_MAXIMO;COTA_MINIMO_OPERACIONAL;COTA_MAXIMO_OPERACIONAL;CANAL_FUGA_MEDIO;initial_volume;POLI_COTA_VOLUME_0;POLI_COTA_VOLUME_1;POLI_COTA_VOLUME_2;POLI_COTA_VOLUME_3;POLI_COTA_VOLUME_4;POLI_COTA_AREA_0;POLI_COTA_AREA_1;POLI_COTA_AREA_2;POLI_COTA_AREA_3;POLI_COTA_AREA_4;EVAPORACAO_01;EVAPORACAO_02;EVAPORACAO_03;EVAPORACAO_04;EVAPORACAO_05;EVAPORACAO_06;EVAPORACAO_07;EVAPORACAO_08;EVAPORACAO_09;EVAPORACAO_10;EVAPORACAO_11;EVAPORACAO_12;POLI_JUSANTE_1_HREF;POLI_JUSANTE_1_COEF_0;POLI_JUSANTE_1_COEF_1;POLI_JUSANTE_1_COEF_2;POLI_JUSANTE_1_COEF_3;POLI_JUSANTE_1_COEF_4;POLI_JUSANTE_2_HREF;POLI_JUSANTE_2_COEF_0;POLI_JUSANTE_2_COEF_1;POLI_JUSANTE_2_COEF_2;POLI_JUSANTE_2_COEF_3;POLI_JUSANTE_2_COEF_4;POLI_JUSANTE_3_HREF;POLI_JUSANTE_3_COEF_0;POLI_JUSANTE_3_COEF_1;POLI_JUSANTE_3_COEF_2;POLI_JUSANTE_3_COEF_3;POLI_JUSANTE_3_COEF_4;POLI_JUSANTE_4_HREF;POLI_JUSANTE_4_COEF_0;POLI_JUSANTE_4_COEF_1;POLI_JUSANTE_4_COEF_2;POLI_JUSANTE_4_COEF_3;POLI_JUSANTE_4_COEF_4;POLI_JUSANTE_5_HREF;POLI_JUSANTE_5_COEF_0;POLI_JUSANTE_5_COEF_1;POLI_JUSANTE_5_COEF_2;POLI_JUSANTE_5_COEF_3;POLI_JUSANTE_5_COEF_4;POLI_JUSANTE_6_HREF;POLI_JUSANTE_6_COEF_0;POLI_JUSANTE_6_COEF_1;POLI_JUSANTE_6_COEF_2;POLI_JUSANTE_6_COEF_3;POLI_JUSANTE_6_COEF_4;CONJUNTO_1_NUM_MAQUINAS;CONJUNTO_1_POTENCIA_REF;CONJUNTO_1_VAZAO_REF;CONJUNTO_1_QUEDA_REF;CONJUNTO_1_TIPO_TURBINA;CONJUNTO_2_NUM_MAQUINAS;CONJUNTO_2_POTENCIA_REF;CONJUNTO_2_VAZAO_REF;CONJUNTO_2_QUEDA_REF;CONJUNTO_2_TIPO_TURBINA;CONJUNTO_3_NUM_MAQUINAS;CONJUNTO_3_POTENCIA_REF;CONJUNTO_3_VAZAO_REF;CONJUNTO_3_QUEDA_REF;CONJUNTO_3_TIPO_TURBINA;CONJUNTO_4_NUM_MAQUINAS;CONJUNTO_4_POTENCIA_REF;CONJUNTO_4_VAZAO_REF;CONJUNTO_4_QUEDA_REF;CONJUNTO_4_TIPO_TURBINA;CONJUNTO_5_NUM_MAQUINAS;CONJUNTO_5_POTENCIA_REF;CONJUNTO_5_VAZAO_REF;CONJUNTO_5_QUEDA_REF;CONJUNTO_5_TIPO_TURBINA
1;FUNIL-GRANDE;1;11;67;1;1;1;180;0.008829;585;48;0.564;5.281;304;304;808;808;808;808;768;0;808;0;0;0;0;37.71;0;0;0;0;6;6;31;42;48;47;33;29;33;22;10;14;0;768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;60;195;34.9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BATALHA     ;1;13;3;1;0;2;52.5;0.009025;154;9;4.079;7.879;430.05;1781.61;785;800;785;800;755.84;20.82;775.046;0.0263973;-1.06E-05;1.99E-09;0;-4577.07;5.89401;-4.65E-09;-6.03E-13;0;0;15;23;42;66;52;91;108;94;44;3;15;0;754;0.0136;-1.18E-05;5.98E-09;-1.14E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;26.25;77;37.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;SERRA FACAO ;1;13;79;1;0;3;212.58;0.008927;324;15;3.189;3.796;1752;5199;732.5;756;732.5;756;675.81;35;682.604;0.0487297;-1.59E-05;2.67E-09;-1.71E-13;-817618;3330.02;-4.5262;0.00205337;0;6;8;20;35;55;57;57;59;52;24;16;31;0;673.931;0.00865979;-1.05E-05;7.66E-09;-2.07E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;106.29;162;73.66;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;CAPIM BRANC1;1;13;5;1;0;4;240;0.008829;495;42;0.265;2.053;228.27;241.13;623.3;624;623.3;624;565;42.93;594.02;0.35164;-0.0021575;7.36E-06;-9.60E-09;-3.58E+06;23536.8;-57.9351;0.0633577;-2.60E-05;2;0;18;38;51;51;48;46;45;18;6;25;0;564.637;0.00555158;-1.85E-06;3.25E-10;-2.09E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;80;165;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;CAPIM BRANC2;1;13;83;1;1;5;210;0.008829;537;42;0.685;3.695;878;879;564.99;565;564.99;565;518.4;0;527.36;0.11044;-0.00018921;1.93E-07;-7.45E-11;1.07E+06;-7786.4;21.2496;-0.0257745;1.17E-05;2;0;18;40;55;56;53;49;50;19;4;23;0;517.2;0.0045396;-2.47E-06;1.06E-09;-1.87E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;70;179;44.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;CORUMBA IV  ;1;13;18;1;0;6;127;0.009123;208;22;1.42;3.864;2936.6;3708;837;842.6;837;842.6;771.2;23.1;789.333;0.0396662;-1.50E-05;3.07E-09;-2.37E-13;-243684;931.451;-1.18791;0.0005055;0;19;8;19;32;56;64;73;84;86;53;13;44;0;769.387;0.0147315;-1.02E-05;3.78E-09;-5.26E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;63.5;104;66.76;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;PIRAJU      ;1;6;98;1;1;7;80;0.008829;362;56;0.72;2.894;84;84;531.5;531.5;531.5;531.5;505;0;531.5;0;0;0;0;12.75;0;0;0;0;30;23;44;64;73;61;46;40;38;16;4;39;0;503.81;0.00641913;-5.36E-06;2.69E-09;-5.06E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;40;181;25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;ITAIPU      ;1;5;-1;1;1;8;14000;0.009025;13260;2839;2.781;5.67;27695.2;29403.9;219;220.3;219;220.3;103.74;0;164.049;0.00480674;-1.89E-07;4.21E-12;-3.77E-17;241048;-4957.82;38.5072;-0.134114;0.000177295;14;32;51;57;60;49;30;26;13;-20;-33;-20;0;89.5808;0.00146655;-2.22E-08;2.31E-13;-9.10E-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;700;663;117;1;10;700;663;117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;HENRY BORDEN;1;7;-1;1;1;9;889;0.007946;152;0;3.762;11.448;1;1;728.75;728.75;728.75;728.75;11.5;0;728.75;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40;7;711.5;3;1;36;6;711.5;3;5;65;11;711.5;3;1;68;12;711.5;3;6;70;12;711.5;3
10;NILO PECANHA;1;10;52;1;1;10;380.03;0.008535;144;0;0.421;7.267;38;38;399;399;399;399;86.9;0;399;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;47.615;18;309.2;1;4;71.2;27;309.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
