stage;month;year;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE
-1;-1;-1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
1;1;2016;90;25.38;20.12;95.93;937;269.08;269.08;239.1;194.11;90;511.77;839.21;0;155.5;231.3;246.91;231.3;399.02;896.43;243.49;653.43;213.84;161.08;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;108.41;90;156.28;241.08;678.04;422.56;183.95;183.95;244.94;288.23;156.28;1047.38;0;351.34;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;351.34;85.42;743.06;743.06;743.06;743.06;71.14;240.35;139.88;399.73;399.73;743.06;743.06;335.26;743.06;604.2;743.06;235.05;119.66;129.53;198.8;995.1;292.38;662.89;897.57;897.56;122.68;343.56;510.12;289.25;347.31;252.49;995.1;353.05;353.05;70.16;314.63;302.19;905.99;0;872.84;841.64;351.33;351.33;867.33;0;0;69.45;101.23;101.23;61.5;711.77;411.92;575;188.18;69;0;123.58;898.56;640.96;873.18;0;0
2;2;2016;90;25.38;20.12;95.93;937;269.08;269.08;239.1;194.11;90;511.77;839.21;0;155.5;231.3;246.91;231.3;399.02;896.43;243.49;653.43;213.84;161.08;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;108.41;90;156.28;241.08;678.04;422.56;183.95;183.95;244.94;288.23;156.28;1047.38;0;351.34;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;351.34;85.42;743.06;743.06;743.06;743.06;71.14;240.35;139.88;399.73;399.73;743.06;743.06;335.26;743.06;604.2;743.06;235.05;119.66;129.53;198.8;995.1;292.38;662.89;897.57;897.56;122.68;343.56;510.12;289.25;347.31;252.49;995.1;353.05;353.05;70.16;314.63;302.19;905.99;0;872.84;841.64;351.33;351.33;867.33;0;0;69.45;101.23;101.23;61.5;711.77;411.92;575;188.18;69;0;123.58;898.56;640.96;873.18;0;0
3;3;2016;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;161.08;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;108.41;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;411.92;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
4;4;2016;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;161.08;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;108.41;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;411.92;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
5;5;2016;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;411.92;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
6;6;2016;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;411.92;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
7;7;2016;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;411.92;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
8;8;2016;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;411.92;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
9;9;2016;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;411.92;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
