stage;month;year;num_subsystem;num_subsystem;num_subsystem;num_subsystem;num_subsystem
-1;-1;-1;1;2;3;4;5
1;1;2016;31530.87;9406.53;8837.1;4419.36;0
2;2;2016;31304.07;9795.33;8648.37;4334.31;0
3;3;2016;31522.77;9234;8730.18;4394.25;0
4;4;2016;30605.85;8673.48;8654.85;4430.7;0
5;5;2016;29480.76;8435.34;8398.89;4380.48;0
6;6;2016;28946.97;8454.78;8205.3;4228.2;0
7;7;2016;29076.57;8606.25;8091.09;4301.91;0
8;8;2016;29934.36;8653.23;8217.45;4490.64;0
9;9;2016;30518.37;8523.63;8485.56;4574.07;0
10;10;2016;31167.18;8753.67;8631.36;4477.68;0
11;11;2016;30667.41;8922.15;8748;4431.51;0
12;12;2016;30524.85;8989.38;8745.57;4379.67;0
13;1;2017;32420.25;9861.75;9033.12;4451.76;0
14;2;2017;33591.51;10164.69;8986.14;4488.21;0
15;3;2017;32624.37;9581.49;9071.19;4549.77;0
16;4;2017;31675.05;8999.1;8992.62;4587.03;0
17;5;2017;30509.46;8752.05;8726.94;4535.19;0
18;6;2017;29957.04;8772.3;8526.87;4378.05;0
19;7;2017;30091.5;8929.44;8407.8;4454.19;0
20;8;2017;30980.07;8978.85;8539.02;4649.4;0
21;9;2017;31584.33;8843.58;8816.85;4735.26;0
22;10;2017;32255.82;9082.53;8968.32;4635.63;0
23;11;2017;31739.04;9257.49;9089.01;4587.84;0
24;12;2017;31591.62;9327.15;9086.58;4535.19;0
25;1;2018;33691.95;10289.43;9413.82;4611.33;0
26;2;2018;34909.38;10605.33;9365.22;4648.59;0
27;3;2018;33904.17;9997.02;9453.51;4713.39;0
28;4;2018;32917.59;9389.52;9371.7;4881.06;0
29;5;2018;31706.64;9131.13;9095.49;4818.69;0
30;6;2018;31132.35;9153;8886.51;4655.88;0
31;7;2018;31271.67;9315.81;8762.58;4725.54;0
32;8;2018;32195.07;9367.65;8899.47;4931.28;0
33;9;2018;32823.63;9226.71;9189.45;5038.2;0
34;10;2018;33521.04;9476.19;9346.59;4939.38;0
35;11;2018;32984.01;9658.44;9472.95;4891.59;0
36;12;2018;32830.92;9731.34;9469.71;4831.65;0
37;1;2019;34974.18;10720.35;9822.87;4899.69;0
38;2;2019;36237.78;11049.21;9771.84;4939.38;0
39;3;2019;35193.69;10415.79;9864.18;5007.42;0
40;4;2019;34169.85;9782.37;9778.32;5047.92;0
41;5;2019;32912.73;9513.45;9489.96;4991.22;0
42;6;2019;32316.57;9536.13;9272.07;4817.88;0
43;7;2019;32461.56;9706.23;9142.47;4901.31;0
44;8;2019;33419.79;9759.69;9285.84;5116.77;0
45;9;2019;34072.65;9613.08;9587.97;5211.54;0
46;10;2019;34796.79;9873.09;9752.4;5102.19;0
47;11;2019;34238.7;10063.44;9883.62;5049.54;0
48;12;2019;34079.94;10138.77;9881.19;4990.41;0
49;1;2020;36646.02;11203.92;10351.8;5473.17;0
50;2;2020;37970.37;11548.17;10297.53;5517.72;0
51;3;2020;36876.87;10886.4;10394.73;5593.86;0
52;4;2020;35803.62;10224.63;10304.82;5640.03;0
53;5;2020;34486.56;9942.75;10001.07;5576.04;0
54;6;2020;33862.05;9967.05;9771.03;5383.26;0
55;7;2020;34013.52;10144.44;9634.95;5476.41;0
56;8;2020;35017.92;10201.14;9785.61;5716.17;0
57;9;2020;35701.56;10047.24;10103.94;5822.28;0
58;10;2020;36460.53;10319.4;10277.28;5699.97;0
59;11;2020;35876.52;10517.85;10415.79;5640.84;0
60;12;2020;35709.66;10597.23;10412.55;5575.23;0
61;1;2021;36646.02;11203.92;10351.8;5473.17;0
62;2;2021;37970.37;11548.17;10297.53;5517.72;0
63;3;2021;36876.87;10886.4;10394.73;5593.86;0
64;4;2021;35803.62;10224.63;10304.82;5640.03;0
65;5;2021;34486.56;9942.75;10001.07;5576.04;0
66;6;2021;33862.05;9967.05;9771.03;5383.26;0
67;7;2021;34013.52;10144.44;9634.95;5476.41;0
68;8;2021;35017.92;10201.14;9785.61;5716.17;0
69;9;2021;35701.56;10047.24;10103.94;5822.28;0
70;10;2021;36460.53;10319.4;10277.28;5699.97;0
71;11;2021;35876.52;10517.85;10415.79;5640.84;0
72;12;2021;35709.66;10597.23;10412.55;5575.23;0
73;1;2022;36646.02;11203.92;10351.8;5473.17;0
74;2;2022;37970.37;11548.17;10297.53;5517.72;0
75;3;2022;36876.87;10886.4;10394.73;5593.86;0
76;4;2022;35803.62;10224.63;10304.82;5640.03;0
77;5;2022;34486.56;9942.75;10001.07;5576.04;0
78;6;2022;33862.05;9967.05;9771.03;5383.26;0
79;7;2022;34013.52;10144.44;9634.95;5476.41;0
80;8;2022;35017.92;10201.14;9785.61;5716.17;0
81;9;2022;35701.56;10047.24;10103.94;5822.28;0
82;10;2022;36460.53;10319.4;10277.28;5699.97;0
83;11;2022;35876.52;10517.85;10415.79;5640.84;0
84;12;2022;35709.66;10597.23;10412.55;5575.23;0
85;1;2023;36646.02;11203.92;10351.8;5473.17;0
86;2;2023;37970.37;11548.17;10297.53;5517.72;0
87;3;2023;36876.87;10886.4;10394.73;5593.86;0
88;4;2023;35803.62;10224.63;10304.82;5640.03;0
89;5;2023;34486.56;9942.75;10001.07;5576.04;0
90;6;2023;33862.05;9967.05;9771.03;5383.26;0
91;7;2023;34013.52;10144.44;9634.95;5476.41;0
92;8;2023;35017.92;10201.14;9785.61;5716.17;0
93;9;2023;35701.56;10047.24;10103.94;5822.28;0
94;10;2023;36460.53;10319.4;10277.28;5699.97;0
95;11;2023;35876.52;10517.85;10415.79;5640.84;0
96;12;2023;35709.66;10597.23;10412.55;5575.23;0
97;1;2024;36646.02;11203.92;10351.8;5473.17;0
98;2;2024;37970.37;11548.17;10297.53;5517.72;0
99;3;2024;36876.87;10886.4;10394.73;5593.86;0
100;4;2024;35803.62;10224.63;10304.82;5640.03;0
101;5;2024;34486.56;9942.75;10001.07;5576.04;0
102;6;2024;33862.05;9967.05;9771.03;5383.26;0
103;7;2024;34013.52;10144.44;9634.95;5476.41;0
104;8;2024;35017.92;10201.14;9785.61;5716.17;0
105;9;2024;35701.56;10047.24;10103.94;5822.28;0
106;10;2024;36460.53;10319.4;10277.28;5699.97;0
107;11;2024;35876.52;10517.85;10415.79;5640.84;0
108;12;2024;35709.66;10597.23;10412.55;5575.23;0
109;1;2025;36646.02;11203.92;10351.8;5473.17;0
110;2;2025;37970.37;11548.17;10297.53;5517.72;0
111;3;2025;36876.87;10886.4;10394.73;5593.86;0
112;4;2025;35803.62;10224.63;10304.82;5640.03;0
113;5;2025;34486.56;9942.75;10001.07;5576.04;0
114;6;2025;33862.05;9967.05;9771.03;5383.26;0
115;7;2025;34013.52;10144.44;9634.95;5476.41;0
116;8;2025;35017.92;10201.14;9785.61;5716.17;0
117;9;2025;35701.56;10047.24;10103.94;5822.28;0
118;10;2025;36460.53;10319.4;10277.28;5699.97;0
119;11;2025;35876.52;10517.85;10415.79;5640.84;0
120;12;2025;35709.66;10597.23;10412.55;5575.23;0
end;;;;;;;
