num_load_level;;;;;;;;;;;;
1;;;;;;;;;;;;
stage;month;year;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection
-1;-1;-1;1;2;3;4;5;6;7;8;9;10
1;1;2016;1;0.9932;1;1;0.8982;1.0117;1;1.0808;1;1
2;2;2016;1;0.993;1;1;0.8997;1.0104;1;1.0742;1;1
3;3;2016;1;0.993;1;1;0.9004;1.0099;1;1.0724;1;1
4;4;2016;1;0.993;1;1;0.9;1.0102;1;1.076;1;1
5;5;2016;1;0.9932;1;1;0.8982;1.0117;1;1.105;1;1
6;6;2016;1;0.9928;1;1;0.9023;1.0082;1;1.0978;1;1
7;7;2016;1;0.993;1;1;0.9004;1.0099;1;1.0938;1;1
8;8;2016;1;0.9928;1;1;0.9025;1.008;1;1.079;1;1
9;9;2016;1;0.993;1;1;0.9;1.0102;1;1.079;1;1
10;10;2016;1;0.9932;1;1;0.8983;1.0116;1;1.089;1;1
11;11;2016;1;0.9932;1;1;0.8978;1.0121;1;1.085;1;1
12;12;2016;1;0.9928;1;1;0.9025;1.008;1;1.0854;1;1
13;1;2017;1;0.993;1;1;0.9004;1.0099;1;1.079;1;1
14;2;2017;1;0.9931;1;1;0.968;1.047;1;1.0738;1;0.9132
15;3;2017;1;0.9928;1;1;0.97;1.0439;1;1.0699;1;0.9182
16;4;2017;1;0.9934;1;1;0.9657;1.0507;1;1.0792;1;0.9074
17;5;2017;1;0.993;1;1;0.9686;1.046;1;1.1016;1;0.9149
18;6;2017;1;0.993;1;1;0.9684;1.0463;1;1.099;1;0.9143
19;7;2017;1;0.993;1;1;0.9686;1.046;1;1.0929;1;0.9149
20;8;2017;1;0.9928;1;1;0.97;1.0439;1;1.0782;1;0.9182
21;9;2017;1;0.993;1;1;0.9684;1.0463;1;1.0783;1;0.9143
22;10;2017;1;0.9932;1;1;0.9674;1.0671;1;1.0882;1.032;0.855
23;11;2017;1.0139;0.9942;1;1;0.9671;1.0678;1;1.0842;1.0323;0.8537
24;12;2017;1.0137;0.9942;1;1;0.9673;1.0672;1;1.0877;1.0321;0.8548
25;1;2018;1.0132;0.994;1;1;0.9686;1.0643;1;1.0782;1.0307;0.8599
26;2;2018;1.0134;0.9941;1;1;0.968;1.0657;1;1.0731;1.0314;0.8573
27;3;2018;1.0132;0.994;1;1;0.9287;1.0736;1;1.0706;1.0307;0.8599
28;4;2018;1.0139;0.9942;1;1;0.9252;1.0778;1;1.0761;1.0323;0.8537
29;5;2018;1.0137;0.9942;1;1;0.9258;1.0771;1;1.1023;1.0321;0.8548
30;6;2018;1.0127;0.9938;1;1;0.9312;1.0707;1;1.0952;1.0295;0.8645
31;7;2018;1.0132;0.994;1;1;0.9287;1.0736;1;1.0914;1.0307;0.8599
32;8;2018;1.0126;0.9938;1;1;0.9315;1.0702;1;1.0771;1.0293;0.8652
33;9;2018;1.0139;0.9942;1;1;0.9252;1.0778;1;1.0789;1.0323;0.8537
34;10;2018;1.0131;0.994;1;1;0.9288;1.0735;1;1.0849;1.0306;0.8602
35;11;2018;1.0139;0.9942;1;1;0.9252;1.0778;1;1.0828;1.0323;0.8537
36;12;2018;0.958;0.9942;1;1;0.9258;1.0771;1;1.0862;1.0321;0.8548
37;1;2019;0.9548;0.994;1;1;0.9287;1.0736;1;1.077;1.0307;0.8599
38;2;2019;0.9529;0.9939;1;1;0.9304;1.0716;1;1.0703;1.0299;0.8631
39;3;2019;0.958;0.9942;1;1;0.9258;1.0771;1;1.0717;1.0321;0.8548
40;4;2019;0.9554;0.994;1;1;0.9282;1.0742;1;1.0735;1.0309;0.8591
41;5;2019;0.9548;0.994;1;1;0.9287;1.0736;1;1.0991;1.0307;0.8599
42;6;2019;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0987;1.0323;0.8537
43;7;2019;0.9517;0.9938;1;1;0.9315;1.0702;1;1.0886;1.0293;0.8652
44;8;2019;0.9517;0.9938;1;1;0.9315;1.0702;1;1.0764;1.0293;0.8652
45;9;2019;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0783;1.0323;0.8537
46;10;2019;0.9547;0.994;1;1;0.9288;1.0735;1;1.0843;1.0306;0.8602
47;11;2019;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0822;1.0323;0.8537
48;12;2019;0.958;0.9942;1;1;0.9258;1.0771;1;1.0855;1.0321;0.8548
49;1;2020;0.9548;0.994;1;1;0.9287;1.0736;1;1.075;1.0307;0.8599
50;2;2020;0.9558;0.994;1;1;0.9278;1.0747;1;1.0699;1.0311;0.8583
51;3;2020;0.9548;0.994;1;1;0.9287;1.0736;1;1.0682;1.0307;0.8599
52;4;2020;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0736;1.0323;0.8537
53;5;2020;0.958;0.9942;1;1;0.9258;1.0771;1;1.0989;1.0321;0.8548
54;6;2020;0.9554;0.994;1;1;0.9282;1.0742;1;1.094;1.0309;0.8591
55;7;2020;0.9517;0.9938;1;1;0.9315;1.0702;1;1.0863;1.0293;0.8652
56;8;2020;0.9548;0.994;1;1;0.9287;1.0736;1;1.0764;1.0307;0.8599
57;9;2020;0.9554;0.994;1;1;0.9282;1.0742;1;1.0747;1.0309;0.8591
58;10;2020;0.9547;0.994;1;1;0.9288;1.0735;1;1.0822;1.0306;0.8602
59;11;2020;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0802;1.0323;0.8537
60;12;2020;0.9548;0.994;1;1;0.9287;1.0736;1;1.082;1.0307;0.8599
61;1;2021;0.9548;0.994;1;1;0.9287;1.0736;1;1.075;1.0307;0.8599
62;2;2021;0.9558;0.994;1;1;0.9278;1.0747;1;1.0699;1.0311;0.8583
63;3;2021;0.9548;0.994;1;1;0.9287;1.0736;1;1.0682;1.0307;0.8599
64;4;2021;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0736;1.0323;0.8537
65;5;2021;0.958;0.9942;1;1;0.9258;1.0771;1;1.0989;1.0321;0.8548
66;6;2021;0.9554;0.994;1;1;0.9282;1.0742;1;1.094;1.0309;0.8591
67;7;2021;0.9517;0.9938;1;1;0.9315;1.0702;1;1.0863;1.0293;0.8652
68;8;2021;0.9548;0.994;1;1;0.9287;1.0736;1;1.0764;1.0307;0.8599
69;9;2021;0.9554;0.994;1;1;0.9282;1.0742;1;1.0747;1.0309;0.8591
70;10;2021;0.9547;0.994;1;1;0.9288;1.0735;1;1.0822;1.0306;0.8602
71;11;2021;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0802;1.0323;0.8537
72;12;2021;0.9548;0.994;1;1;0.9287;1.0736;1;1.082;1.0307;0.8599
73;1;2022;0.9548;0.994;1;1;0.9287;1.0736;1;1.075;1.0307;0.8599
74;2;2022;0.9558;0.994;1;1;0.9278;1.0747;1;1.0699;1.0311;0.8583
75;3;2022;0.9548;0.994;1;1;0.9287;1.0736;1;1.0682;1.0307;0.8599
76;4;2022;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0736;1.0323;0.8537
77;5;2022;0.958;0.9942;1;1;0.9258;1.0771;1;1.0989;1.0321;0.8548
78;6;2022;0.9554;0.994;1;1;0.9282;1.0742;1;1.094;1.0309;0.8591
79;7;2022;0.9517;0.9938;1;1;0.9315;1.0702;1;1.0863;1.0293;0.8652
80;8;2022;0.9548;0.994;1;1;0.9287;1.0736;1;1.0764;1.0307;0.8599
