num_load_level;;;;;;;
1;;;;;;;
stage;month;year;num_subsystem;num_subsystem;num_subsystem;num_subsystem;num_subsystem
-1;-1;-1;1;2;3;4;5
1;1;2016;1.1181;1.0287;1.0848;1.063;1
2;2;2016;1.0915;1.0096;1.0916;1.0576;1
3;3;2016;1.1228;1.0761;1.0914;1.0564;1
4;4;2016;1.1542;1.1437;1.0889;1.0593;1
5;5;2016;1.2037;1.1758;1.096;1.0817;1
6;6;2016;1.1884;1.1781;1.1054;1.0753;1
7;7;2016;1.2019;1.1881;1.1112;1.0726;1
8;8;2016;1.1818;1.1617;1.105;1.0619;1
9;9;2016;1.1684;1.1662;1.1038;1.0622;1
10;10;2016;1.1422;1.1317;1.1005;1.0697;1
11;11;2016;1.1281;1.0682;1.0916;1.0664;1
12;12;2016;1.0931;1.041;1.0891;1.0665;1
13;1;2017;1.1137;1.0243;1.082;1.0617;1
14;2;2017;1.0923;1.0103;1.0922;1.0578;1
15;3;2017;1.1184;1.0713;1.0882;1.055;1
16;4;2017;1.1644;1.1565;1.0958;1.0624;1
17;5;2017;1.198;1.1693;1.0926;1.0798;1
18;6;2017;1.1939;1.185;1.1089;1.077;1
19;7;2017;1.2019;1.1881;1.1112;1.0726;1
20;8;2017;1.1818;1.1617;1.105;1.0619;1
21;9;2017;1.1684;1.1662;1.1038;1.0622;1
22;10;2017;1.1422;1.1317;1.1005;1.0697;1
23;11;2017;1.1281;1.0682;1.0916;1.0664;1
24;12;2017;1.1007;1.0493;1.0944;1.0689;1
25;1;2018;1.1137;1.0243;1.082;1.0617;1
26;2;2018;1.0923;1.0103;1.0922;1.0578;1
27;3;2018;1.1228;1.0761;1.0914;1.0564;1
28;4;2018;1.1593;1.1501;1.0923;1.0609;1
29;5;2018;1.2037;1.1758;1.096;1.0817;1
30;6;2018;1.1884;1.1781;1.1054;1.0753;1
31;7;2018;1.2019;1.1881;1.1112;1.0726;1
32;8;2018;1.1818;1.1617;1.105;1.0619;1
33;9;2018;1.1737;1.1728;1.1075;1.0637;1
34;10;2018;1.1374;1.1255;1.0968;1.0682;1
35;11;2018;1.1281;1.0682;1.0916;1.0664;1
36;12;2018;1.1007;1.0493;1.0944;1.0689;1
37;1;2019;1.1137;1.0243;1.082;1.0617;1
38;2;2019;1.088;1.0061;1.0891;1.0565;1
39;3;2019;1.1272;1.0811;1.0946;1.0578;1
40;4;2019;1.1542;1.1437;1.0889;1.0593;1
41;5;2019;1.198;1.1693;1.0926;1.0798;1
42;6;2019;1.1995;1.1919;1.1125;1.0788;1
43;7;2019;1.1964;1.1811;1.1076;1.071;1
