number;name;subsystem;plant_in_operation;max_generation;min_generation;incremental_cost;forced_indisponibility;programmer_indisponibility
1;ACRE        ;1;0;0;0;90;10;4
2;ANGRA 1     ;1;1;640;614.45;25.38;3.99;11.72
3;ANGRA 2     ;1;1;1350;1334.3;20.12;1.16;8.17
4;BAIXADA FLU ;1;1;530;0;95.93;2.54;3.31
5;CARIOBA     ;1;1;36;0;937;0;0
6;CCBS        ;1;0;0;0;269.08;6.72;6.46
7;CCBS_L1     ;1;1;157;62.87;269.08;6.72;6.46
8;CCBS_L13    ;1;1;59;23.53;239.1;6.72;6.46
9;COCAL       ;1;1;28;0;194.11;2;2
10;COSTA RICA I;1;0;0;0;90;10;4
11;CUIABA G CC ;1;1;529;0;511.77;3.01;4.57
12;DAIA        ;1;1;44;0;839.21;10.37;2.34
13;DO ATLAN_CSA;1;1;255;203.74;0;1.28;4.99
14;DO ATLANTICO;1;1;235;201.5;155.5;1.28;4.99
15;EBOLT_L1    ;1;1;321;0;231.3;6.54;2.36
16;EBOLT_L13   ;1;1;65;0;246.91;6.54;2.36
17;ELETROBOLT  ;1;0;0;0;231.3;6.54;2.36
18;F.GASPARIAN ;1;1;572;0;399.02;6.07;3.74
19;GOIANIA II  ;1;1;140;0;896.43;22.65;0.53
20;IBIRITERMO  ;1;1;226;0;243.49;2.44;6.35
21;IGARAPE     ;1;1;131;0;653.43;15.78;19.29
22;JUIZ DE FORA;1;1;87;0;213.84;3.67;1.89
23;LINHARES    ;1;1;204;0;161.08;2.2;0.64
24;NORTEFLU-1  ;1;1;400;399.99;37.8;0;0
25;NORTEFLU-2  ;1;1;100;0;58.89;12.87;5.46
26;NORTEFLU-3  ;1;1;200;0;102.84;12.87;5.46
27;NORTEFLU-4  ;1;1;127;0;279.71;12.87;5.46
28;PALMEIRAS GO;1;1;176;0;701.91;8.7;1.69
29;PIRAT.12 G  ;1;1;200;0;470.34;6.57;12.08
30;R.SILVEIRA  ;1;1;30;0;421.52;9.23;0.62
31;ST.CRUZ 34  ;1;1;436;0;310.41;24.25;18.01
32;ST.CRUZ NOVA;1;1;500;0;108.41;8.12;10.29
33;STA VITORIA ;1;1;41;0;90;1;16.2
34;T LAGOAS_L1 ;1;1;134;0;156.28;8.91;2.91
35;T LAGOAS_L13;1;1;216;0;241.08;8.91;2.91
36;T.NORTE 2   ;1;1;340;0;678.04;3.65;6.1
37;TERMOMACAE  ;1;1;929;0;422.56;3.61;1.87
38;TERMORIO    ;1;0;0;0;183.95;6.06;3.19
39;TERMORIO_L1 ;1;1;740;74.73;183.95;6.06;3.19
40;TERMORIO_L13;1;1;266;25.77;244.94;6.06;3.19
41;TERMORIO_L15;1;1;30;2.95;288.23;0;0
42;TRES LAGOAS ;1;0;0;0;156.28;8.91;2.91
43;UTE BRASILIA;1;1;10;0;1047.38;0;26.33
44;UTE SOL     ;1;1;197;138.93;0;5.67;7.72
45;VIANA       ;1;1;175;0;351.34;1.58;0.31
46;W.ARJONA    ;1;1;206;0;297.27;7.76;8.95
47;XAVANTES    ;1;1;54;0;1173.04;2.66;0.04
48;ARAUCARIA   ;2;1;485;0;595.11;2.11;5.48
49;ARGENTINA 1 ;2;1;0;0;43.02;0;0
50;ARGENTINA 1B;2;1;0;0;53.1;0;0
51;ARGENTINA 2A;2;1;0;0;53.1;0;0
52;ARGENTINA 2B;2;1;0;0;53.1;0;0
53;ARGENTINA 2C;2;1;0;0;53.1;0;0
54;ARGENTINA 2D;2;1;0;0;53.1;0;0
55;CANDIOTA 3  ;2;1;350;210;69.72;17.36;10.83
56;CANOAS      ;2;1;249;0;698.14;0.5;2.09
57;CHARQUEADAS ;2;1;72;36;205.48;16.96;27.37
58;CISFRAMA    ;2;1;4;0;249.51;3.5;6
59;FIGUEIRA    ;2;1;20;7.92;459.92;36.04;22.13
60;J.LACERDA A1;2;1;100;30;258.42;16.63;13.81
61;J.LACERDA A2;2;1;132;96;195.49;8.39;10.5
62;J.LACERDA B ;2;1;262;200;186.33;8.68;10.26
63;J.LACERDA C ;2;1;363;310;155.85;4.6;13
64;NUTEPA      ;2;1;24;0;780;2.41;0.85
65;P.MEDICI A  ;2;1;126;0;115.9;73.68;30.27
66;P.MEDICI B  ;2;1;320;57.89;115.9;73.68;30.27
67;PAMPA SUL   ;2;0;0;0;50;3.44;1.37
68;RIO GRANDE  ;2;0;0;0;239.05;2;2
69;S.JERONIMO  ;2;1;20;0;248.31;34.88;34.56
70;SAO SEPE    ;2;0;0;0;65;2;3
71;URUGUAIANA  ;2;1;640;0;486.2;4.98;62.04
72;ALTOS       ;3;1;13;0;743.06;20.67;0.78
73;ARACATI     ;3;1;11;0;743.06;23.03;1.54
74;BAHIA I     ;3;1;31;0;556.28;4.92;2.88
75;BATURITE    ;3;1;11;0;743.06;20.1;1.3
76;BOLTBAH     ;3;0;0;0;125;0.5;4.5
77;CAMACARI D/G;3;1;347;0;943.88;25.65;16.53
78;CAMACARI PI ;3;1;150;0;604.2;4.48;0.32
79;CAMPINA GDE ;3;1;169;0;351.34;1.78;0.96
80;CAMPO GRANDE;3;0;0;0;85.42;1.5;3.5
81;CAMPO MAIOR ;3;1;13;0;743.06;22.2;1.21
82;CAUCAIA     ;3;1;15;0;743.06;20.24;2.19
83;CRATO       ;3;1;13;0;743.06;23.78;1.31
84;ENGUIA PECEM;3;1;15;0;743.06;21.51;0.79
85;ERB CANDEIAS;3;1;17;11.91;71.14;3;5
86;FAFEN       ;3;1;138;0;240.35;20.62;5.97
87;FORTALEZA   ;3;1;327;0;139.88;1.76;4
88;GLOBAL I    ;3;1;149;0;399.73;4.17;1.76
89;GLOBAL II   ;3;1;149;0;399.73;3.6;2.12
90;IGUATU      ;3;1;15;0;743.06;24.03;0.81
91;JUAZEIRO N  ;3;1;15;0;743.06;17.63;1.15
92;MARACANAU I ;3;1;168;0;335.26;8.87;0.57
93;MARAMBAIA   ;3;1;13;0;743.06;27.6;1.16
94;MURICY      ;3;1;147;0;604.2;2.73;0.92
95;NAZARIA     ;3;1;13;0;743.06;25.6;1.07
96;NOVO TEMPO  ;3;0;0;0;235.05;2;2
97;P. PECEM I  ;3;1;720;0;119.66;11.71;7.03
98;P. PECEM II ;3;1;365;0;129.53;1.97;2.8
99;P. SERGIPE I;3;0;0;0;198.8;1.1;2.05
100;PAU FERRO I ;3;1;94;0;995.1;1.61;0.43
101;PERNAMBU_III;3;1;201;0;292.38;3.6;1.8
102;PETROLINA   ;3;1;136;0;662.89;0.76;1.64
103;POTIGUAR    ;3;1;53;0;897.57;4.64;0.74
104;POTIGUAR III;3;1;66;0;897.56;2.05;0.41
105;PROSPERIDADE;3;0;0;0;122.68;3;4
106;SUAPE II    ;3;1;381;0;343.56;3.04;1.67
107;SYKUE I     ;3;1;30;0;510.12;1.5;3
108;TERMOBAHIA  ;3;1;186;0;289.25;5.84;4.35
109;TERMOCABO   ;3;1;50;0;347.31;0.63;1.62
110;TERMOCEARA  ;3;1;223;0;252.49;8.4;4.82
111;TERMOMANAUS ;3;1;143;0;995.1;1.24;0.77
112;TERMONE     ;3;1;171;0;353.05;9.44;1.34
113;TERMOPB     ;3;1;171;0;353.05;11.89;1.29
114;TERMOPE     ;3;1;533;348.8;70.16;9.13;5.57
115;VALE DO ACU ;3;1;368;0;314.63;5.15;3.07
116;APARECIDA   ;4;1;166;150;302.19;4;5.87
117;APARECIDA OC;4;1;36;0;905.99;0;0
118;C. ROCHA    ;4;1;85;67;0;1;20.72
119;ELECTRON    ;4;1;15;0;872.84;0;0
120;FLORES      ;4;1;80;0;841.64;0;0
121;GERAMAR I   ;4;1;166;0;351.33;0.26;0.44
122;GERAMAR II  ;4;1;166;0;351.33;0.28;0.66
123;IRANDUBA    ;4;1;25;0;867.33;0;0
124;JARAQUI     ;4;1;75;62.99;0;4;0
125;MANAUARA    ;4;1;67;64.5;0;2.5;0.39
126;MARANHAO III;4;0;0;0;69.45;1.85;1.62
127;MARANHAO IV ;4;1;338;0;101.23;1.89;2.07
128;MARANHAO V  ;4;1;338;0;101.23;1.65;1.6
129;MAUA 3      ;4;0;0;0;61.5;3.7;6.3
130;MAUA B1     ;4;1;20;0;711.77;0;0
131;MAUA B3     ;4;1;110;100;411.92;4;5.29
132;MAUA B4     ;4;1;150;0;575;10;10
133;N.VENECIA 2 ;4;1;176;0;188.18;3.88;2.09
134;PARNAIBA IV ;4;1;56;0;69;3.32;1.08
